Lat,Lon,Pixval
48.713530243989,-89.788179008928,28
48.713530243989,-89.787928763589,36
48.713279539763,-89.788429254266,45
48.713279539763,-89.788179008928,42
48.713279539763,-89.787928763589,38
48.713279539763,-89.787678518251,50
48.713028835538,-89.788679499605,41
48.713028835538,-89.788429254266,38
48.713028835538,-89.788179008928,27
48.713028835538,-89.787928763589,30
48.713028835538,-89.787678518251,47
48.713028835538,-89.787428272912,67
48.712778131313,-89.788929744943,25
48.712778131313,-89.788679499605,33
48.712778131313,-89.788429254266,98
48.712778131313,-89.788179008928,80
48.712778131313,-89.787928763589,55
48.712778131313,-89.787678518251,58
48.712778131313,-89.787428272912,44
48.712778131313,-89.787178027573,42
48.712527427087,-89.789179990282,30
48.712527427087,-89.788929744943,19
48.712527427087,-89.788679499605,27
48.712527427087,-89.788429254266,35
48.712527427087,-89.788179008928,33
48.712527427087,-89.787928763589,47
48.712527427087,-89.787678518251,50
48.712527427087,-89.787428272912,44
48.712527427087,-89.787178027573,25
48.712527427087,-89.786927782235,30
48.712276722862,-89.789430235621,30
48.712276722862,-89.789179990282,17
48.712276722862,-89.788929744943,17
48.712276722862,-89.788679499605,27
48.712276722862,-89.788429254266,31
48.712276722862,-89.788179008928,38
48.712276722862,-89.787928763589,35
48.712276722862,-89.787678518251,33
48.712276722862,-89.787428272912,36
48.712276722862,-89.787178027573,30
48.712276722862,-89.786927782235,39
48.712276722862,-89.786677536896,42
48.712026018636,-89.789430235621,16
48.712026018636,-89.789179990282,16
48.712026018636,-89.788929744943,39
48.712026018636,-89.788679499605,36
48.712026018636,-89.788429254266,31
48.712026018636,-89.788179008928,41
48.712026018636,-89.787928763589,30
48.712026018636,-89.787678518251,27
48.712026018636,-89.787428272912,38
48.712026018636,-89.787178027573,36
48.712026018636,-89.786927782235,39
48.712026018636,-89.786677536896,42
48.712026018636,-89.786427291558,33
48.711775314411,-89.788679499605,38
48.711775314411,-89.788429254266,36
48.711775314411,-89.788179008928,30
48.711775314411,-89.787928763589,27
48.711775314411,-89.787678518251,28
48.711775314411,-89.787428272912,47
48.711775314411,-89.787178027573,44
48.711775314411,-89.786927782235,31
48.711775314411,-89.786677536896,44
48.711775314411,-89.786427291558,39
48.711775314411,-89.786177046219,33
48.711524610186,-89.787428272912,36
48.711524610186,-89.787178027573,33
48.711524610186,-89.786927782235,36
48.711524610186,-89.786677536896,30
48.711524610186,-89.786427291558,31
48.711524610186,-89.786177046219,39
48.711524610186,-89.785926800881,42
48.71127390596,-89.786427291558,36
48.71127390596,-89.786177046219,42
48.71127390596,-89.785926800881,47
48.71127390596,-89.785676555542,44
